"longitude","latitude","environment.2019_land_distance","environment.2019_mean_depth","environment.2019_net_primary_production","environment.2019_sea.bottom_dissolved_oxygen","fishing.activity.2019_total_fishing","species.richness.2019","stocks.richness.2019","thermohalinity_2019","distance_class","distance_class_interpretation"
4.72,40.53,-0.484637984,-0.398440577,0.153737836,-0.102375805,-0.417115847,-0.666235999,-0.690733621,-0.064585784,4,"medium risk"
5.22,40.53,-0.540676958,-0.398378888,0.189108834,-0.087368355,-0.416483317,-0.720008477,-0.78752967,-0.085606289,4,"medium risk"
5.72,40.53,-0.58318309,-0.398394281,0.207187167,-0.078045081,-0.417642364,-0.636362399,-0.593937572,-0.096001466,4,"medium risk"
6.22,40.53,-0.605925852,-0.398563608,0.175865078,-0.060805043,-0.417642364,-0.62441296,-0.642335596,-0.06200895,4,"medium risk"
6.72,40.53,-0.571825172,-0.399827252,0.112523763,-0.045983767,-0.417642364,-0.767806236,-0.981121769,-0.023514018,4,"medium risk"
7.22,40.53,-0.513360461,-0.400535809,0.11490127,-0.020002394,-0.411069702,-0.737932637,-0.932723744,-0.013651093,4,"medium risk"
7.72,40.53,-0.398470496,-0.389218686,0.236161416,-0.113308321,-0.250359556,0.504809093,0.616013045,-0.179443631,3,"high risk"
8.22,40.53,1.324878959,0.078329832,0.455007501,0.341035377,0.469693931,1.962640739,1.438779464,-1.499644084,3,"high risk"
10.22,40.53,-0.28358053,-0.3401257,0.064009671,-0.321301172,-0.296458252,0.827443966,1.148391316,-0.346432204,3,"high risk"
10.72,40.53,-0.467404463,-0.385144193,-0.06176657,-0.228230401,-0.417639817,-0.253980329,-0.0615593,-0.137925599,4,"medium risk"
11.22,40.53,-0.54618617,-0.394825686,-0.131340926,-0.196253648,-0.417642364,-0.427247204,-0.303549424,-0.030901384,4,"medium risk"
11.72,40.53,-0.540676958,-0.390728971,-0.157551611,-0.186037112,-0.4176392,-0.60051408,-0.690733621,0.005124339,4,"medium risk"
12.22,40.53,-0.484637984,-0.396370692,-0.200755135,-0.232858268,-0.414607762,-0.564665761,-0.642335596,0.11859538,4,"medium risk"
12.72,40.53,-0.447709044,-0.392775939,-0.259070111,-0.291735492,-0.178422087,0.170224781,0.277226872,0.058610502,4,"medium risk"
13.22,40.53,-0.381237004,-0.351787726,-0.279185332,-0.293134945,0.381709601,0.409213576,0.761207119,-0.003028508,3,"high risk"
13.72,40.53,0.635539194,-0.278581228,0.032667978,-0.171015488,1.741887476,1.783399143,1.39038144,-0.28475616,3,"high risk"
14.22,40.53,1.187011023,-0.034577856,0.79074782,0.665437208,1.069406705,2.530239125,1.680769588,-0.702266232,3,"high risk"
14.72,40.53,4.082238132,0.062533823,0.744328486,0.826108688,0.213149479,1.245674356,1.051595267,-1.455625377,1,"high risk"
18.22,40.53,0.704473162,0.060355374,-0.389246311,1.613975427,3.014659869,1.406991792,1.245187366,-0.934677249,1,"high risk"
18.72,40.53,-0.398470496,-0.257549281,-0.454616988,1.1297574,0.034447971,0.379339976,0.858003168,-0.562439704,3,"high risk"
19.22,40.53,0.780663351,0.429540375,0.409999949,1.461684084,0.368882972,1.855095781,1.438779464,-1.480158168,3,"high risk"
22.72,40.53,6.494927379,6.793036533,1.64939554,-9.866646951,-0.363350161,-1.389177102,-1.561898065,-2.54073735,1,"high risk"
24.22,40.53,1.187011023,0.889657608,0.333576467,1.996045772,2.228426774,1.430890671,1.438779464,-0.137377341,1,"high risk"
24.72,40.53,1.066376551,0.970775826,0.514840307,2.196779727,0.547320893,1.353219313,1.341983415,-0.528389492,1,"high risk"
25.22,40.53,0.704473162,0.874540064,0.459308392,1.951568174,2.267419633,1.150078838,1.29358539,-0.428583402,1,"high risk"
25.72,40.53,1.066376551,2.021860956,1.174368431,2.024174703,4.949405387,0.725873728,0.906401193,-0.258488465,1,"high risk"
26.22,40.53,2.875893494,2.189761566,1.861788073,1.604463536,0.188753717,0.295693898,0.422420946,-0.227407202,1,"high risk"
